"marker_name","marker_id","marker_mean","marker_std"
"CD10",170,0.01709826758832,0.028232257785233
"CD103",172,0.036234831133347,0.055067513227967
"CD106",174,0.02251935792398,0.021513883072498
"CD107A",176,0.009956983772743,0.027795296531285
"CD11B",180,0.032169304434054,0.052365631918842
"CD11C",182,0.01903850880955,0.044335894320743
"CD134",188,0.007104985963329,0.012113393277056
"CD138",190,0.016329847932996,0.045892979101372
"CD14",192,0.044542437117002,0.058956506964904
"CD15",194,0.016322029023369,0.040415845467354
"CD16",196,0.041869441697734,0.05562602617936
"CD162",198,0.012216787836381,0.040094275267629
"CD163",200,0.014383895345818,0.033087414829243
"CD164",202,0.035435087881848,0.047449439126576
"CD19",204,0.040921441344039,0.048541083495269
"CD1A",206,0.001982935960925,0.004982178496801
"CD1B",208,0.005618658823857,0.021508762287182
"CD1C",210,0.0121055618181,0.029023692543679
"CD2",212,0.161255754578048,0.110404126491129
"CD20",214,0.045191582014717,0.057727228810945
"CD206",216,0.014007699716253,0.044500654190149
"CD21",218,0.030157080294295,0.051463231981568
"CD23",220,0.007923337674536,0.020058986092278
"CD25",224,0.046293068230417,0.060703958932176
"CD27",226,0.006770155617963,0.009144941931484
"CD271",228,0.013884857620362,0.035464422880546
"CD28",230,0.032297260423036,0.048409738284571
"CD3",232,0.031814082623739,0.066669983148534
"CD30",234,0.080204107618987,0.056236860722716
"CD31",236,0.007017607869554,0.02648811200201
"CD34",238,0.021099896436083,0.037606113328878
"CD35",240,0.007694399679714,0.021127761733116
"CD36",242,0.008197827878786,0.026479495392782
"CD38",244,0.01850829448005,0.02816937921348
"CD39",246,0.01290456757741,0.01268335517275
"CD4",248,0.01761953227456,0.043488669824453
"CD40",250,0.009831080447236,0.011311274523303
"CD44",254,0.025729573393176,0.062900187886423
"CD45",256,0.064861690088598,0.112587988039793
"CD45RA",258,0.046234915013981,0.070005033855438
"CD45RO",260,0.029776678198784,0.074940388336497
"CD49A",266,0.031030453000504,0.043378720834902
"CD5",268,0.060517216595029,0.094987628545146
"CD54",270,0.03414165692666,0.039938980054367
"CD56",272,0.027448837096015,0.049417103336954
"CD57",274,0.005938027181212,0.029239079931071
"CD61",276,0.00849370651428,0.017624645369246
"CD66B",280,0.001668414613027,0.001106509512168
"CD68",282,0.013592969621604,0.033643945961906
"CD69",284,0.029539718769904,0.045456293974283
"CD7",286,0.056185083102036,0.082215625152897
"CD8",294,0.050695170350049,0.08463300028839
"CGAS",302,0.016003309233561,0.035089336049443
"CLEAVED_CASP3",306,0.020892336383145,0.056341958562301
"CLEC9A",308,0.003482256193606,0.006270228863561
"CLUSTERIN",310,0.002075867276711,0.014133584493716
"COLLAGEN",312,0.023569528752688,0.069731338647284
"CS",314,0.023110837789567,0.057756944296134
"CTLA4",316,0.105298157571748,0.08078880622278
"CXCL13",318,0.02379456311931,0.024080213104141
"CXCR5",320,0.021110895389128,0.037179033200058
"CYTOKERATIN",322,0.017069960621747,0.040264074319819
"DC-SIGN",324,0.037775364009177,0.046686554910698
"DESMIN",326,0.021442499626869,0.028620511861148
"E-CADHERIN",328,0.028348714816025,0.059704122077563
"EGFR",330,0.067375439822311,0.074557186908699
"EPCAM",332,0.034519957267589,0.057902339766732
"FIBRINOGEN",338,0.013185435190958,0.029322744539351
"FN1",340,0.058335811944165,0.041199988104835
"G6PD",344,0.010046812276392,0.03623129459701
"GALECTIN-3",346,0.020096262038575,0.026098350250672
"GITR",350,0.003825420900769,0.003023180398607
